Manufacturer Name,Model Name,Variant Name,Battery Type,Drive Type,Battery Capacity,Useable Capacity,Warranty Years,Warranty Kms,Official Range,Range Rating System,Real Range,Efficiency,Horsepower,Torque,0-100,Top speed,Weight,Fast Charging DC KW,10-80 time,v2l output kw AC,price (in lakhs),view_count
MG,ZS EV,100-Year Edition,NCM,FWD,50.3,49,8,150000,461,ARAI,280,179.64,174.3,280,8.6,175,1645,50,52,0,22.25,0
MG,ZS EV,Essence,NCM,FWD,50.3,49,8,150000,461,ARAI,280,179.64,174.3,280,8.6,175,1645,50,52,0,23.5,0
MINI,Cooper SE,3-Door,NCM,FWD,32.6,28.9,8,100000,270,ARAI,190,171.58,181,270,7.3,150,1440,50,29,0,53,0
MINI,Cooper SE,Charged Edition,NCM,FWD,32.6,28.9,8,100000,270,ARAI,190,171.58,181,270,7.3,150,1440,50,29,0,55,0
MINI,Countryman Electric,E,NCM,FWD,66.45,64.6,8,100000,462,WLTP,390,170.38,201,250,8.6,170,1940,50,29,0,54.9,0
Porsche,Macan,Electric,NCM,RWD,100,95,8,160000,641,WLTP,520,192.31,335,563,5.7,220,2295,270,21,0,122,0
Porsche,Macan,4S Electric,NCM,AWD,100,95,8,160000,606,WLTP,495,202.02,442,820,4.1,240,2420,270,21,0,139,0
Porsche,Macan,Turbo Electric,NCM,AWD,100,95,8,160000,590,WLTP,480,208.33,630,1001,3.3,260,2480,270,21,0,169,0
Porsche,Taycan,Electric (Performance Battery),NCM,RWD,89,82.3,8,160000,590,WLTP,505,176.24,402,410,4.8,230,2165,270,19,0,169,0
Porsche,Taycan,4S,NCM,AWD,105,97,8,160000,642,WLTP,575,182.61,589,710,3.7,250,2325,320,18,0,191,0
Porsche,Taycan,Turbo,NCM,AWD,105,97,8,160000,630,WLTP,550,190.91,871,940,2.7,260,2365,320,18,0,254,0
Rolls-Royce,Spectre,Coupe,NCM,AWD,107,102,10,10000000,530,WLTP,475,225.26,576,900,4.5,250,2965,195,36,0,750,0
Tata,Tiago EV,XE Medium Range,LFP,FWD,19.2,18.7,8,160000,223,ARAI,105,182.86,60.3,110,14.9,120,1150,25,46,0,7.99,0
Tata,Tiago EV,XT Medium Range,LFP,FWD,19.2,18.7,8,160000,223,ARAI,105,182.86,60.3,110,14.9,120,1150,25,46,0,8.99,0
Tata,Tiago EV,XT Long Range,LFP,FWD,24,23.28,8,160000,293,ARAI,180,133.33,73.7,114,13.7,120,1200,25,58,0,10.14,0
Tata,Tiago EV,XZ Plus Tech LUX Long Range,LFP,FWD,24,23.28,8,160000,293,ARAI,180,133.33,73.7,114,13.7,120,1200,25,58,0,11.14,0
Tata,Punch EV,Smart 3.3,LFP,FWD,25,24.3,8,160000,265,MIDC,190,131.58,80.4,114,13.5,140,1240,50,56,0,9.99,0
Tata,Punch EV,Smart Plus 3.3,LFP,FWD,25,24.3,8,160000,265,MIDC,190,131.58,80.4,114,13.5,140,1240,50,56,0,11.14,0
Tata,Punch EV,Adventure 3.3,LFP,FWD,25,24.3,8,160000,265,MIDC,190,131.58,80.4,114,13.5,140,1240,50,56,0,11.84,0
Tata,Punch EV,Adventure (S) 3.3,LFP,FWD,25,24.3,8,160000,265,MIDC,190,131.58,80.4,114,13.5,140,1240,50,56,0,12.14,0
Tata,Punch EV,Empowered 3.3,LFP,FWD,25,24.3,8,160000,265,MIDC,190,131.58,80.4,114,13.5,140,1240,50,56,0,12.64,0
Tata,Punch EV,Empowered (S) 3.3,LFP,FWD,25,24.3,8,160000,265,MIDC,190,131.58,80.4,114,13.5,140,1240,50,56,0,12.84,0
Tata,Punch EV,Empowered Plus 3.3,LFP,FWD,25,24.3,8,160000,265,MIDC,190,131.58,80.4,114,13.5,140,1240,50,56,0,12.84,0
Tata,Punch EV,Empowered Plus S 3.3,LFP,FWD,25,24.3,8,160000,265,MIDC,190,131.58,80.4,114,13.5,140,1240,50,56,0,13.14,0
Tata,Punch EV,Adventure Long Range 3.3,LFP,FWD,35,34,8,160000,365,MIDC,230,152.17,120.6,190,9.5,140,1340,50,56,0,12.84,900
Tata,Punch EV,Adventure (S) Long Range 3.3,LFP,FWD,35,34,8,160000,365,MIDC,230,152.17,120.6,190,9.5,140,1340,50,56,0,13.14,0
Tata,Punch EV,Adventure Long Range 7.2 Fast Charger,LFP,FWD,35,34,8,160000,365,MIDC,230,152.17,120.6,190,9.5,140,1340,50,56,0,13.34,0
Tata,Punch EV,Empowered Long Range 3.3,LFP,FWD,35,34,8,160000,365,MIDC,230,152.17,120.6,190,9.5,140,1340,50,56,0,13.44,0
Tata,Punch EV,Empowered Plus Long Range 3.3,LFP,FWD,35,34,8,160000,365,MIDC,230,152.17,120.6,190,9.5,140,1340,50,56,0,13.64,0
Tata,Punch EV,Empowered S Long Range 3.3,LFP,FWD,35,34,8,160000,365,MIDC,230,152.17,120.6,190,9.5,140,1340,50,56,0,13.64,0
Tata,Punch EV,Adventure (S) Long Range 7.2 Fast Charger,LFP,FWD,35,34,8,160000,365,MIDC,230,152.17,120.6,190,9.5,140,1340,50,56,0,13.64,0
Tata,Punch EV,Empowered Plus S Long Range 3.3,LFP,FWD,35,34,8,160000,365,MIDC,230,152.17,120.6,190,9.5,140,1340,50,56,0,13.94,0
Tata,Punch EV,Empowered Long Range 7.2 Fast Charger,LFP,FWD,35,34,8,160000,365,MIDC,230,152.17,120.6,190,9.5,140,1340,50,56,0,13.94,0
Tata,Punch EV,Empowered Plus Long Range 7.2 Fast Charger,LFP,FWD,35,34,8,160000,365,MIDC,230,152.17,120.6,190,9.5,140,1340,50,56,0,14.14,0
Tata,Punch EV,Empowered S Long Range 7.2 Fast Charger,LFP,FWD,35,34,8,160000,365,MIDC,230,152.17,120.6,190,9.5,140,1340,50,56,0,14.14,0
Tata,Punch EV,Empowered Plus S Long Range 7.2 Fast Charger,LFP,FWD,35,34,8,160000,365,MIDC,230,152.17,120.6,190,9.5,140,1340,50,56,0,14.44,0
Tata,Tigor EV,XE,LFP,FWD,26,25.2,8,160000,315,ARAI,195,133.33,74,170,13,120,1126,15,59,0,12.49,0
Tata,Tigor EV,XT,LFP,FWD,26,25.2,8,160000,315,ARAI,195,133.33,74,170,13,120,1126,15,59,0,12.99,0
Tata,Tigor EV,XZ Plus,LFP,FWD,26,25.2,8,160000,315,ARAI,195,133.33,74,170,13,120,1126,15,59,0,13.49,0
Tata,Tigor EV,XZ Plus LUX,LFP,FWD,26,25.2,8,160000,315,ARAI,195,133.33,74,170,13,120,1126,15,59,0,13.75,0
Tata,Nexon EV,Creative Plus Medium Range,LFP,FWD,30,29,8,160000,325,MIDC,206,145.63,127,215,9.2,150,1270,50,56,0,12.49,0
Tata,Nexon EV,Fearless Medium Range,LFP,FWD,30,29,8,160000,325,MIDC,206,145.63,127,215,9.2,150,1270,50,56,0,13.29,0
Tata,Nexon EV,Fearless Plus Medium Range,LFP,FWD,30,29,8,160000,325,MIDC,206,145.63,127,215,9.2,150,1270,50,56,0,13.79,0
Tata,Nexon EV,Fearless Plus (S) Medium Range,LFP,FWD,30,29,8,160000,325,MIDC,206,145.63,127,215,9.2,150,1270,50,56,0,14.29,900
Tata,Nexon EV,Empowered Medium Range,LFP,FWD,30,29,8,160000,325,MIDC,206,145.63,127,215,9.2,150,1270,50,56,0,14.79,0
Tata,Nexon EV,Creative 45,LFP,FWD,45,43.5,8,160000,489,MIDC,263,171.1,142,215,8.9,150,1340,60,40,0,13.99,0
Tata,Nexon EV,Fearless 45,LFP,FWD,45,43.5,8,160000,489,MIDC,263,171.1,142,215,8.9,150,1340,60,40,0,14.99,0
Tata,Nexon EV,Empowered 45,LFP,FWD,45,43.5,8,160000,489,MIDC,263,171.1,142,215,8.9,150,1340,60,40,0,15.99,910
